"Yıl
Year";"Cinsiyet
Sex";"Toplam
Total";;;"Okuma yazma
bilmeyen
Illiterate";;;"Okuma yazma bilen
fakat bir okul bitirmeyen
No school completed";;;"İlkokul mezunu
Primary school";;;"İlköğretim mezunu
Primary education";;;"Ortaokul veya dengi
okul mezunu
Junior high school
and equivalent";;;"Lise ve dengi
okul mezunu
High school
and equivalent";;;"Yüksek öğretim
Higher education";;;"Bilinmeyen
Unknown";
;;"Sayı
Number";(%);;"Sayı
Number";(%);;"Sayı
Number";(%);;"Sayı
Number";(%);;"Sayı
Number";(%);;"Sayı
Number";(%);;"Sayı
Number";(%);;"Sayı
Number";(%);;"Sayı
Number";(%)
2024 ;Toplam-Total; 4 460;100,0;;  47;1,1;;  96;2,2;;  594;13,3;;  342;7,7;; 1 099;24,6;; 1 423;31,9;;  840;18,8;;  19;0,4
2024 ;Erkek-Male; 3 499;100,0;;  14;0,4;;  51;1,5;;  410;11,7;;  287;8,2;;  861;24,6;; 1 183;33,8;;  681;19,5;;  12;0,3
2024 ;Kadın-Female;  961;100,0;;  33;3,4;;  45;4,7;;  184;19,1;;  55;5,7;;  238;24,8;;  240;25,0;;  159;16,5;;  7;0,7
2023 ;Toplam-Total; 4 089;100,0;;  58;1,4;;  100;2,4;;  617;15,1;;  335;8,2;; 1 116;27,3;; 1 170;28,6;;  655;16,0;;  38;0,9
2023 ;Erkek-Male; 3 080;100,0;;  17;0,6;;  60;1,9;;  410;13,3;;  286;9,3;;  843;27,4;;  947;30,7;;  493;16,0;;  24;0,8
2023 ;Kadın-Female; 1 009;100,0;;  41;4,1;;  40;4,0;;  207;20,5;;  49;4,9;;  273;27,1;;  223;22,1;;  162;16,1;;  14;1,4
2022 ;Toplam-Total; 4 218;100,0;;  65;1,5;;  110;2,6;;  655;15,5;;  396;9,4;; 1 136;26,9;; 1 177;27,9;;  638;15,1;;  41;1,0
2022 ;Erkek-Male; 3 173;100,0;;  24;0,8;;  54;1,7;;  437;13,8;;  333;10,5;;  828;26,1;;  953;30,0;;  508;16,0;;  36;1,1
2022 ;Kadın-Female; 1 045;100,0;;  41;3,9;;  56;5,4;;  218;20,9;;  63;6,0;;  308;29,5;;  224;21,4;;  130;12,4;;  5;0,5
2021 ;Toplam-Total; 4 194;100,0;;  82;2,0;;  140;3,3;;  715;17,0;;  408;9,7;; 1 077;25,7;; 1 097;26,2;;  622;14,8;;  53;1,3
2021 ;Erkek-Male; 3 263;100,0;;  37;1,1;;  87;2,7;;  514;15,8;;  356;10,9;;  805;24,7;;  910;27,9;;  517;15,8;;  37;1,1
2021 ;Kadın-Female;  931;100,0;;  45;4,8;;  53;5,7;;  201;21,6;;  52;5,6;;  272;29,2;;  187;20,1;;  105;11,3;;  16;1,7
2020 ;Toplam-Total; 3 710;100,0;;  93;2,5;;  166;4,5;;  665;17,9;;  395;10,6;;  940;25,3;;  939;25,3;;  474;12,8;;  38;1,0
2020 ;Erkek-Male; 2 845;100,0;;  40;1,4;;  93;3,3;;  463;16,3;;  338;11,9;;  743;26,1;;  771;27,1;;  367;12,9;;  30;1,1
2020 ;Kadın-Female;  865;100,0;;  53;6,1;;  73;8,4;;  202;23,4;;  57;6,6;;  197;22,8;;  168;19,4;;  107;12,4;;  8;0,9
