İntihar sayısı ve kaba intihar hızı, 2001-2024;;;;;;;;
Yil;İntihar_sayisi;"Kaba_intihar_hizi
(Yuz binde)";;;;;;
2001; 2 584;3,97;;;;;;
2002; 2 301;3,49;;;;;;
2003; 2 705;4,05;;;;;;
2004; 2 707;4,00;;;;;;
2005; 2 703;3,95;;;;;;
2006; 2 829;4,08;;;;;;
2007; 2 793;3,98;;;;;;
2008; 2 816;3,96;;;;;;
2009; 2 898;4,02;;;;;;
2010; 2 933;4,01;;;;;;
2011; 2 677;3,61;;;;;;
2012; 3 287;4,37;;;;;;
2013; 3 252;4,27;;;;;;
2014; 3 169;4,11;;;;;;
2015; 3 246;4,15;;;;;;
2016; 3 193;4,03;;;;;;
2017; 3 168;3,94;;;;;;
2018; 3 342;4,11;;;;;;
2019; 3 476;4,21;;;;;;
2020; 3 710;4,45;;;;;;
2021; 4 194;4,98;;;;;;
2022; 4 218;4,96;;;;;;
2023; 4 089;4,79;;;;;;
2024; 4 460;5,22;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
