"Yil
";"Cinsiyet
";"Toplam
";;Yasal medeni durum - Legal marital status;;;;;;;;;
;;;;"Hic_evlenmedi_sayi
";Hic_evlenmedi_yuzde;"Evli_sayi
";Evli_yuzde;"Esi_oldu_sayi
";Esi_oldu_yuzde;"Bosandi_sayi
";Bosandi_yuzde;Bilinmeyen_sayi;Bilinmeyen_yuzde
2024;Toplam-Total; 4 460;100,0; 1 929;43,3; 1 882;42,2;  167;3,7;  482;10,8;;
2024;Erkek-Male; 3 499;100,0; 1 539;44,0; 1 502;42,9;  88;2,5;  370;10,6;;
2024;Kadın-Female;  961;100,0;  390;40,6;  380;39,5;  79;8,2;  112;11,7;;
2023(r);Toplam-Total; 4 089;100,0; 1 761;43,1; 1 717;42,0;  183;4,5;  428;10,5;;
2023(r);Erkek-Male; 3 080;100,0; 1 377;44,7; 1 304;42,3;  97;3,1;  302;9,8;;
2023(r);Kadın-Female; 1 009;100,0;  384;38,1;  413;40,9;  86;8,5;  126;12,5;;
2022;Toplam-Total; 4 218;100,0; 1 738;41,2; 1 858;44,0;  186;4,4;  428;10,1;  8;0,2
2022;Erkek-Male; 3 173;100,0; 1 347;42,5; 1 398;44,1;  108;3,4;  314;9,9;  6;0,2
2022;Kadın-Female; 1 045;100,0;  391;37,4;  460;44,0;  78;7,5;  114;10,9;  2;0,2
2021;Toplam-Total; 4 194;100,0; 1 705;40,7; 1 913;45,6;  188;4,5;  381;9,1;  7;0,2
2021;Erkek-Male; 3 263;100,0; 1 349;41,3; 1 515;46,4;  99;3,0;  295;9,0;  5;0,2
2021;Kadın-Female;  931;100,0;  356;38,2;  398;42,7;  89;9,6;  86;9,2;  2;0,2
2020;Toplam-Total; 3 710;100,0; 1 434;38,7; 1 692;45,6;  214;5,8;  358;9,6;  12;0,3
2020;Erkek-Male; 2 845;100,0; 1 121;39,4; 1 333;46,9;  121;4,3;  263;9,2;  7;0,2
2020;Kadın-Female;  865;100,0;  313;36,2;  359;41,5;  93;10,8;  95;11,0;  5;0,6
2019;Toplam-Total; 3 476;100,0; 1 301;37,4; 1 672;48,1;  187;5,4;  311;8,9;  5;0,1
2019;Erkek-Male; 2 684;100,0; 1 007;37,5; 1 334;49,7;  106;3,9;  234;8,7;  3;0,1
2019;Kadın-Female;  792;100,0;  294;37,1;  338;42,7;  81;10,2;  77;9,7;  2;0,3
2018;Toplam-Total; 3 342;100,0; 1 239;37,1; 1 622;48,5;  174;5,2;  298;8,9;  9;0,3
2018;Erkek-Male; 2 529;100,0;  933;36,9; 1 282;50,7;  106;4,2;  204;8,1;  4;0,2
2018;Kadın-Female;  813;100,0;  306;37,6;  340;41,8;  68;8,4;  94;11,6;  5;0,6
2017;Toplam-Total; 3 168;100,0; 1 160;36,6; 1 571;49,6;  158;5,0;  279;8,8;;
2017;Erkek-Male; 2 445;100,0;  874;35,7; 1 260;51,5;  91;3,7;  220;9,0;;
2017;Kadın-Female;  723;100,0;  286;39,6;  311;43,0;  67;9,3;  59;8,2;;
2016;Toplam-Total; 3 193;100,0; 1 199;37,6; 1 613;50,5;  150;4,7;  230;7,2;  1;0,0
2016;Erkek-Male; 2 426;100,0;  879;36,2; 1 283;52,9;  88;3,6;  175;7,2;  1;0,0
2016;Kadın-Female;  767;100,0;  320;41,7;  330;43,0;  62;8,1;  55;7,2;;
2015;Toplam-Total; 3 246;100,0; 1 227;37,8; 1 634;50,3;  149;4,6;  233;7,2;  3;0,1
2015;Erkek-Male; 2 358;100,0;  862;36,6; 1 269;53,8;  77;3,3;  149;6,3;  1;0,0
2015;Kadın-Female;  888;100,0;  365;41,1;  365;41,1;  72;8,1;  84;9,5;  2;0,2
2014;Toplam-Total; 3 169;100,0; 1 241;39,2; 1 509;47,6;  147;4,6;  227;7,2;  45;1,4
2014;Erkek-Male; 2 352;100,0;  914;38,9; 1 156;49,1;  79;3,4;  170;7,2;  33;1,4
2014;Kadın-Female;  817;100,0;  327;40,0;  353;43,2;  68;8,3;  57;7,0;  12;1,5
2013;Toplam-Total; 3 252;100,0; 1 279;39,3; 1 560;48,0;  135;4,2;  179;5,5;  99;3,0
2013;Erkek-Male; 2 382;100,0;  938;39,4; 1 164;48,9;  82;3,4;  119;5,0;  79;3,3
2013;Kadın-Female;  870;100,0;  341;39,2;  396;45,5;  53;6,1;  60;6,9;  20;2,3
