yil;Il;toplam;"Hastalık
Illness";"Aile
geçimsizliği
Family
incompatibility";"Geçim
zorluğu
Economic
problems";"Ticari
başarısızlık
Business
failure";"Hissi0ilişki0ve
istediği0ile0evlenememe
Emotional0relationship
and0not0marrying
the0person0wanted";"Öğrenim
başarısızlığı
Educational
failure";"Diğer
Other";"Bilinmeyen
Unknown";;;;;;;;;
2024;Türkiye;4460;1123;190;402;6;116;9;1642;972;;;;;;;;;
2024;Adana;170;63;5;17;1;2;1;38;43;;;;;;;;;
2024;Adıyaman;30;5;0;2;0;0;0;12;11;;;;;;;;;
2024;Afyonkarahisar;47;5;2;5;0;3;0;13;19;;;;;;;;;
2024;Ağrı;16;2;1;0;0;1;0;8;4;;;;;;;;;
2024;Amasya;9;3;1;0;0;0;0;2;3;;;;;;;;;
2024;Ankara;300;110;24;37;0;10;1;101;17;;;;;;;;;
2024;Antalya;168;43;7;19;0;4;0;55;40;;;;;;;;;
2024;Artvin;9;4;0;0;0;1;0;2;2;;;;;;;;;
2024;Aydın;94;25;3;3;0;4;0;34;25;;;;;;;;;
2024;Balıkesir;76;20;1;6;0;1;0;22;26;;;;;;;;;
2024;Bilecik;12;1;1;3;0;0;0;3;4;;;;;;;;;
2024;Bingöl;13;0;1;0;0;1;0;6;5;;;;;;;;;
2024;Bitlis;21;6;1;1;0;0;0;5;8;;;;;;;;;
2024;Bolu;16;3;0;0;0;0;0;6;7;;;;;;;;;
2024;Burdur;22;3;2;1;0;1;0;10;5;;;;;;;;;
2024;Bursa;164;46;6;14;0;3;0;62;33;;;;;;;;;
2024;Çanakkale;36;10;1;1;0;0;0;15;9;;;;;;;;;
2024;Çankırı;16;9;2;0;0;1;0;3;1;;;;;;;;;
2024;Çorum;33;7;3;4;0;0;0;7;12;;;;;;;;;
2024;Denizli;64;19;2;4;0;0;0;20;19;;;;;;;;;
2024;Diyarbakır;83;16;2;9;1;2;0;26;27;;;;;;;;;
2024;Edirne;21;3;1;0;0;1;0;9;7;;;;;;;;;
2024;Elazığ;26;4;5;0;0;0;0;11;6;;;;;;;;;
2024;Erzincan;11;3;0;0;0;1;0;3;4;;;;;;;;;
2024;Erzurum;28;4;1;2;1;0;1;9;10;;;;;;;;;
2024;Eskişehir;61;8;2;5;0;1;0;34;11;;;;;;;;;
2024;Gaziantep;97;33;5;8;0;3;0;41;7;;;;;;;;;
2024;Giresun;10;2;0;2;0;0;0;4;2;;;;;;;;;
2024;Gümüşhane;8;2;0;0;0;0;0;3;3;;;;;;;;;
2024;Hakkari;17;1;1;2;0;0;0;8;5;;;;;;;;;
2024;Hatay;53;10;1;6;0;0;0;16;20;;;;;;;;;
2024;Isparta;32;4;0;3;0;0;0;13;12;;;;;;;;;
2024;Mersin;127;29;5;9;0;2;0;58;24;;;;;;;;;
2024;İstanbul;631;185;33;66;2;15;1;313;16;;;;;;;;;
2024;İzmir;265;80;8;30;0;6;1;87;53;;;;;;;;;
2024;Kars;14;0;0;0;0;0;0;7;7;;;;;;;;;
2024;Kastamonu;17;3;0;0;0;0;0;3;11;;;;;;;;;
2024;Kayseri;93;24;4;7;0;4;0;37;17;;;;;;;;;
2024;Kırklareli;17;5;0;1;0;0;0;5;6;;;;;;;;;
2024;Kırşehir;17;6;0;2;0;0;0;3;6;;;;;;;;;
2024;Kocaeli;99;13;1;15;0;2;0;42;26;;;;;;;;;
2024;Konya;153;33;3;10;0;10;1;56;40;;;;;;;;;
2024;Kütahya;33;12;1;2;0;0;0;9;9;;;;;;;;;
2024;Malatya;51;13;2;4;0;1;0;23;8;;;;;;;;;
2024;Manisa;78;17;5;8;0;3;0;23;22;;;;;;;;;
2024;Kahramanmaraş;56;11;3;4;0;2;0;12;24;;;;;;;;;
2024;Mardin;37;4;1;4;0;1;0;16;11;;;;;;;;;
2024;Muğla;63;10;2;3;0;2;0;16;30;;;;;;;;;
2024;Muş;21;2;0;2;0;1;2;8;6;;;;;;;;;
2024;Nevşehir;19;1;5;2;0;1;0;5;5;;;;;;;;;
2024;Niğde;22;5;0;5;0;1;0;6;5;;;;;;;;;
2024;Ordu;49;9;3;1;0;1;0;21;14;;;;;;;;;
2024;Rize;10;5;0;1;0;0;0;0;4;;;;;;;;;
2024;Sakarya;37;5;4;6;0;1;0;17;4;;;;;;;;;
2024;Samsun;81;25;1;10;0;1;0;26;18;;;;;;;;;
2024;Siirt;16;2;2;0;0;0;0;9;3;;;;;;;;;
2024;Sinop;2;0;0;0;0;0;0;2;0;;;;;;;;;
2024;Sivas;28;10;0;2;0;1;0;9;6;;;;;;;;;
