"Yil
Year";"Il
Province";"Toplam
Total";Yas grubu Age group;;;;;;;;;;;;;;;
;;;<15;15019;20024;25029;30034;35039;40044;45049;50054;55059;60064;65069;70074; 75+;;
2024;Turkiye; 4 460;  77;  396;  584;  609;  552;  430;  408;  320;  269;  220;  189;  143;  105;  158;;
2024;Adana;  170;  4;  11;  24;  22;  22;  15;  20;  6;  14;  7;  7;  11;  2;  5;;
2024;Adiyaman;  30;  4;  2;  2;  7;  7;  2;0;  2;  1;0;  2;0;0;  1;;
2024;Afyonkarahisar;  47;0;  4;  15;  5;  4;  2;  5;  1;  5;  3;  2;0;  1;0;;
2024;Agri;  16;  1;  4;  5;  2;0;  1;0;  1;0;0;  1;0;0;  1;;
2024;Amasya;  9;0;0;0;0;  1;  3;  3;0;0;0;  1;  1;0;0;;
2024;Ankara;  300;  5;  23;  38;  45;  35;  34;  25;  29;  19;  12;  13;  7;  6;  9;;
2024;Antalya;  168;  4;  9;  23;  19;  17;  20;  13;  10;  17;  10;  7;  8;  3;  8;;
2024;Artvin;  9;0;0;0;  1;0;0;0;0;  1;  1;  3;  2;  1;0;;
2024;Aydin;  94;  1;  6;  9;  12;  13;  8;  9;  9;  12;  3;  4;  2;0;  6;;
2024;Balikesir;  76;  1;  4;  6;  12;  8;  6;  4;  5;  3;  6;  9;  3;  5;  4;;
2024;Bilecik;  12;0;  1;  2;  2;0;  2;  1;  1;0;0;  2;0;0;  1;;
2024;Bingol;  13;  1;  2;  2;  1;  1;  2;0;  1;  1;  1;0;  1;0;0;;
2024;Bitlis;  21;0;  4;  4;  6;  2;  2;  1;0;  1;0;0;  1;0;0;;
2024;Bolu;  16;0;0;  3;  2;  2;  1;  1;0;  3;0;0;0;  2;  2;;
2024;Burdur;  22;0;0;  1;  2;  5;0;  3;  1;  4;  2;  3;0;0;  1;;
2024;Bursa;  164;  2;  11;  12;  18;  23;  12;  21;  11;  17;  10;  5;  6;  9;  7;;
2024;canakkale;  36;  1;  2;  1;  5;  1;  3;  1;  5;  3;  5;  4;  2;  3;0;;
2024;cankiri;  16;  1;0;  2;  3;  1;  1;  2;  2;  1;0;  1;0;  1;  1;;
2024;corum;  33;  1;  2;  2;  5;  7;  5;0;  3;0;  4;0;  1;  1;  2;;
2024;Denizli;  64;  1;  4;  2;  12;  10;  7;  5;  1;  2;  6;  5;  2;  4;  3;;
2024;Diyarbakir;  83;  4;  13;  16;  8;  17;  4;  11;  3;  4;  1;  1;0;0;  1;;
2024;Edirne;  21;0;  1;  1;  6;0;0;  2;  1;  1;  3;0;  3;0;  3;;
2024;Elazig;  26;0;  5;  5;  5;  2;  1;0;  4;0;  1;  1;0;0;  2;;
2024;Erzincan;  11;0;  2;0;  2;  1;  2;  1;0;0;  1;  1;  1;0;0;;
2024;Erzurum;  28;0;  5;  6;  5;  3;  2;  2;  2;  2;  1;0;0;0;0;;
2024;Eskişehir;  61;0;  2;  4;  10;  8;  4;  7;  8;  1;  7;  3;  3;  3;  1;;
2024;Gaziantep;  97;  2;  11;  17;  14;  12;  6;  8;  11;  6;  3;  2;  1;  2;  2;;
2024;Giresun;  10;0;  1;0;  1;  4;  1;  1;  1;0;0;0;0;0;  1;;
2024;Gumuşhane;  8;0;  1;  2;  1;0;  1;0;  1;0;0;0;  1;0;  1;;
2024;Hakkari;  17;0;  6;  3;  2;  2;0;0;  2;  1;0;  1;0;0;0;;
2024;Hatay;  53;  1;  2;  4;  10;  10;  6;  10;  3;  2;  3;0;0;0;  2;;
2024;isparta;  32;0;  4;  4;  4;  4;  1;  3;  1;0;  1;  4;  3;  1;  2;;
2024;Mersin;  127;  1;  12;  16;  18;  18;  10;  11;  5;  9;  4;  4;  7;  6;  6;;
